snippet1	snippet2	similarity	companies1	companies2	company_similarity	country1	country2	country_similarity	similarity_range
at KPMG where he focused on complex financial matters and financial trading, investment banking and lending businesses	LatentView has been recognized as an industry leader by Gartner	0.2090012863750875	['kpmg']	['gartner']	0.47139107111748185	US	IN	0.5367935299873352	(0.2, 0.3]
In his last role, Prashant was playing the role of Portfolio & Regional Head at Infosys, as a key leader for their Communications, Media and Entertainment business	"We're proud of the end result of this implementation and congratulate our valued client for this award,"" said Richard Palmer, Senior Managing Director within the Technology segment at FTI Consulting"	0.17176256226518505	['infosys']	['fti consulting']	0.6728972830661452	JO	IE	0.3629177510738373	(0.1, 0.2]
Wipro consolidates presence in foods with acquisition of Kerala-based Brahmins	Days after reports claimed that Tata Consultancy Services might roll out 100 per cent variable payout for a section of employees for the recent quarter, another IT services exporter HCLTech announced that 85 per cent	0.17217829903833873	['wipro']	['tata consultancy services']	0.5839255829327946	IN	IN	1.0000001192092896	(0.1, 0.2]
messenger RNA (mRNA) therapeutics and vaccines, and IBM announced an agreement under which Moderna will explore next generation technologies including quantum computing and artificial intelligence to advance and accelerate mRNA research and science	Under the agreement, IBM will provide access to quantum computing systems	0.5376029538091424	['ibm']	['ibm']	0.9999999999999999	IN	US	0.5367935299873352	(0.5, 0.6]
IBM's purpose is to be the catalyst	Moderna and IBM scientists will apply MoLFormer, an AI foundation model that can help scientists predict a molecule's properties, and could help them understand the characteristics of potential mRNA medicines	0.3296460867307082	['ibm']	['ibm', 'moderna']	0.8050950030471955	IN	US	0.5367935299873352	(0.3, 0.4]
IBM to explore quantum computing and generative AI for mRNA science	Moderna will participate in the IBM Quantum Accelerator program and the IBM Quantum Network	0.4935832254635367	['ibm']	['ibm', 'moderna']	0.8050950030471955	IN	US	0.5367935299873352	(0.4, 0.5]
Under this initiative, Moderna and IBM will combine state-of-the-art formulation discovery with generative AI to design mRNA medicines with optimal safety and performance	A study by Willis Towers Watson found that post-millennial workers are more likely than older co-workers to use telemedicine	0.0688782994851049	['ibm']	['willis towers watson']	0.7286992074126226	US	GB	0.7544673085212708	(-0.001, 0.1]
SAP Vertafore IBM Applied Systems Inc	Infosys increases 0.2% against the trend	0.2500145342746282	['ibm']	['infosys']	0.7279356332899384	JO	IN	0.3101555109024048	(0.2, 0.3]
IBM Thailand presented on Automation	IBM Thailand presented on Security	0.7186770649312519	['ibm']	['ibm']	0.9999999999999999	TH	TH	1.0000001192092896	(0.7, 0.8]
Infosys' weak performance followed by TCS snapped Sensex	Moderna and IBM have formed a partnership	0.20828549196316345	['infosys']	['ibm']	0.7279356332899384	IN	GB	0.5888364911079407	(0.2, 0.3]
On the contrary, Infosys saw a drop	Wipro, Tech Mahindra, and others are yet to announce their Q4 results	0.2543753540947377	['infosys']	['wipro']	0.9898891257498994	IN	IN	1.0000001192092896	(0.2, 0.3]
TCS, ITC, Wipro, Asian Paints and HCL Tech were among the gainers	Gartner had a return on equity of 2,645.96% and a net margin of 14.75%	0.13360411466133856	['wipro', 'itc']	['gartner']	0.43776564557638215	IN	PA	0.4140567183494568	(0.1, 0.2]
Markets are likely to end the week on a weak note, as the Nifty 50 is down over 1 per cent, triggered by a sharp fall in the IT index following weaker-than-expected results and forecasts by top companies like TCS and Infosys	Aon Plc engages in the provision of risk, health, and wealth solutions	0.0937442120924685	['infosys', 'tcs']	['aon']	0.9446098738772825	IN	CH	0.5335655808448792	(-0.001, 0.1]
AON’s quarterly revenue was up 1.6% on a year-over-year basis	AON’s revenue for the quarter was up 1.6% compared to the same quarter last year	0.9251358659312856	['aon']	['aon']	1.0000000000000002	CH	CH	1.0	(0.9, 1.0]
AON had a return on equity of 1,165.31% and a net margin of 20.75%	Wipro imposes new elimination training on freshers,	0.0979200397397278	['aon']	['wipro']	0.950338473108609	CH	US	0.5043016076087952	(-0.001, 0.1]
In addition to this performance appraisal of top performers, TCS is also reportedly considering a hike in the base salaries of campus recruitments, reports said	Wipro, Infosys, Axis Bank and Bajaj Finance edged higher	0.3092526857507027	['tata consultancy services']	['wipro', 'wipro']	0.5839255829327946	IN	IN	1.0000001192092896	(0.3, 0.4]
Kestra Advisory Services LLC’s holdings in Gartner were worth $1,957,000 at the end	Gartner had a net margin of 14.75% and a return on equity of 2,645.96%	0.6052603003539077	['gartner']	['gartner']	0.9999999999999998	IN	US	0.5367935299873352	(0.6, 0.7]
